lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,step,micro@P,micro@R,micro@F1,macro@P,macro@R,macro@F1,MD@R,MD@P,MD@F1,ALLTRUE,ALLRECALLED,ALLPRED,loss,epoch,val_micro@P,val_micro@R,val_micro@F1,val_macro@P,val_macro@R,val_macro@F1,val_MD@R,val_MD@P,val_MD@F1,val_ALLTRUE,val_ALLRECALLED,val_ALLPRED,val_loss
,,,,,,20,,,,,,,,,,,,,,,0.9737253785133362,0.9824321269989014,0.9780593514442444,0.963751494884491,0.9749139547348022,0.9692819118499756,0.9857984185218811,0.9770618081092834,0.9814106822013855,9506.0,9371.0,9591.0,13.265740394592285
,,,,,,21,,,,,,,,,,,,,,,0.973185658454895,0.981620728969574,0.9773849844932556,0.9634332656860352,0.9728211164474487,0.9680841565132141,0.985066831111908,0.9766021370887756,0.9808162450790405,9576.0,9433.0,9659.0,5.902894020080566
,,,,,,22,,,,,,,,,,,,,,,0.9724506735801697,0.9802092909812927,0.9763145446777344,0.9628754258155823,0.9716993570327759,0.967248797416687,0.983732283115387,0.9759457111358643,0.9798235297203064,9651.0,9494.0,9728.0,11.366888046264648
,,,,,,23,,,,,,,,,,,,,,,0.9721513986587524,0.9799485802650452,0.97603440284729,0.9628307819366455,0.9717073440551758,0.9672291278839111,0.983547568321228,0.9757217168807983,0.979619026184082,9725.0,9565.0,9803.0,3.8879077434539795
,,,,,,24,,,,,,,,,,,,,,,0.9717267751693726,0.9793688058853149,0.9755328297615051,0.9625993371009827,0.971406877040863,0.9669626355171204,0.9829435348510742,0.975273609161377,0.9790935516357422,9791.0,9624.0,9868.0,9.1791353225708
,,,,,,25,,,,,,,,,,,,,,,0.9706650376319885,0.9791244268417358,0.9748764038085938,0.9617725610733032,0.971308708190918,0.9664921760559082,0.9827725887298584,0.9742816686630249,0.978508710861206,9868.0,9698.0,9954.0,10.077642440795898
,,,,,,26,,,,,,,,,,,,,,,0.9698873162269592,0.9785714149475098,0.9742100238800049,0.9611197113990784,0.9708911180496216,0.9659532904624939,0.9823943376541138,0.973676323890686,0.9780158996582031,9940.0,9765.0,10029.0,7.679922103881836
,,,,,,27,,,,,,,,,,,,,,,0.9695919156074524,0.9783130288124084,0.9739329218864441,0.9608930349349976,0.9706032872200012,0.9656979441642761,0.9821107387542725,0.973355770111084,0.9777136445045471,10006.0,9827.0,10096.0,1.2839365005493164
,,,,,,28,,,,,,,,,,,,,,,0.9693034291267395,0.9783515334129333,0.9738064408302307,0.9607559442520142,0.9707286357879639,0.9656891822814941,0.9821251034736633,0.9730421304702759,0.9775625467300415,10070.0,9890.0,10164.0,4.765744209289551
,,,,,,29,,,,,,,,,,,,,,,0.9693478941917419,0.9783251285552979,0.9738157987594604,0.9607813358306885,0.9706979990005493,0.9656872153282166,0.9820689558982849,0.9730573892593384,0.9775424003601074,10150.0,9968.0,10244.0,1.002457618713379
,,,,,,30,,,,,,,,,,,,,,,0.9690102934837341,0.9781036376953125,0.9735357165336609,0.9606640934944153,0.9706675410270691,0.9656121134757996,0.9818181991577148,0.9726902842521667,0.9772329330444336,10230.0,10044.0,10326.0,8.695569038391113
,,,,,,31,,,,,,,,,,,,,,,0.9688647985458374,0.9779425859451294,0.9733825325965881,0.9605450630187988,0.9704921841621399,0.9654662013053894,0.9817489981651306,0.9726358652114868,0.9771711826324463,10246.0,10059.0,10342.0,1.7297286987304688
,,,,,,115,,,,,,,,,,,,,7.05235481262207,0,0.9688647985458374,0.9779425859451294,0.9733825325965881,0.9605450630187988,0.9704921841621399,0.9654662013053894,0.9817489981651306,0.9726358652114868,0.9771711826324463,10246.0,10059.0,10342.0,6.927606105804443
,,,,,,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23465995490550995,0,,,,,,,,,,,,,
1.9676796065343408e-05,1.9676796065343408e-05,0.0019676796065343405,0.00019676796065343406,0.00019676796065343406,0.00019676796065343406,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,149,0.9873843789100647,0.9902994632720947,0.9888397455215454,0.9844322204589844,0.9919951558113098,0.9881879687309265,0.9902994632720947,0.9873843789100647,0.9888397455215454,2371.0,2348.0,2378.0,0.30040931701660156,1,,,,,,,,,,,,,
1.9501141753030038e-05,1.9501141753030038e-05,0.0019501141753030039,0.00019501141753030038,0.00019501141753030038,0.00019501141753030038,199,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,199,0.9886305928230286,0.9903110861778259,0.9894701242446899,0.9793584942817688,0.9874560832977295,0.9833666086196899,0.9908210039138794,0.9891396760940552,0.98997962474823,5883.0,5829.0,5893.0,0.6320147514343262,1,,,,,,,,,,,,,
,,,,,,32,,,,,,,,,,,,,,,0.9868258833885193,0.9876771569252014,0.987251341342926,0.9704868197441101,0.9711095690727234,0.9707980155944824,0.9886629581451416,0.9878109097480774,0.9882367253303528,8115.0,8023.0,8122.0,8.045055389404297
,,,,,,33,,,,,,,,,,,,,,,0.9860788583755493,0.9871638417243958,0.9866210222244263,0.9698297381401062,0.9707549810409546,0.9702919125556946,0.9882640838623047,0.9871779084205627,0.9877206683158875,8180.0,8084.0,8189.0,7.8974127769470215
,,,,,,34,,,,,,,,,,,,,,,0.9856900572776794,0.9866472482681274,0.986168384552002,0.9677596092224121,0.9686809182167053,0.9682196974754333,0.987861156463623,0.9869027137756348,0.9873816967010498,8238.0,8138.0,8246.0,2.925140142440796
,,,,,,35,,,,,,,,,,,,,,,0.9846320152282715,0.9862898588180542,0.9854602217674255,0.9599806070327759,0.9648386240005493,0.9623981714248657,0.9874925017356873,0.9858326315879822,0.9866618514060974,8315.0,8211.0,8329.0,4.353236198425293
,,,,,,36,,,,,,,,,,,,,,,0.983680784702301,0.9852063655853271,0.9844430088996887,0.9590975046157837,0.9640028476715088,0.9615383744239807,0.9866380095481873,0.9851101636886597,0.9858735203742981,8382.0,8270.0,8395.0,5.059267044067383
,,,,,,37,,,,,,,,,,,,,,,0.9834417700767517,0.9850728511810303,0.9842566251754761,0.9589362740516663,0.9638312458992004,0.9613721966743469,0.9867314100265503,0.9850975871086121,0.9859138131141663,8441.0,8329.0,8455.0,3.4718432426452637
,,,,,,38,,,,,,,,,,,,,,,0.9821930527687073,0.9844997525215149,0.983345091342926,0.9578283429145813,0.9632426500320435,0.9605231285095215,0.9862611293792725,0.9839503169059753,0.9851043820381165,8516.0,8399.0,8536.0,14.845802307128906
,,,,,,39,,,,,,,,,,,,,,,0.9811715483665466,0.9840307831764221,0.9825990796089172,0.9570801854133606,0.9630475640296936,0.9600499868392944,0.9858958125114441,0.983031153678894,0.9844613671302795,8579.0,8458.0,8604.0,8.46271800994873
,,,,,,40,,,,,,,,,,,,,,,0.9802025556564331,0.9833718538284302,0.9817846417427063,0.9552217125892639,0.959496021270752,0.9573531746864319,0.9854503273963928,0.9822744131088257,0.9838598370552063,8660.0,8534.0,8688.0,5.136043548583984
,,,,,,41,,,,,,,,,,,,,,,0.9802263379096985,0.9830353260040283,0.9816287755966187,0.9565561413764954,0.9605162739753723,0.9585312008857727,0.9850986003875732,0.9822837114334106,0.9836891293525696,8724.0,8594.0,8749.0,3.2862563133239746
,,,,,,42,,,,,,,,,,,,,,,0.9794761538505554,0.9825958609580994,0.9810335040092468,0.9545757174491882,0.9603044986724854,0.9574282169342041,0.9846433997154236,0.9815171957015991,0.9830778241157532,8791.0,8656.0,8819.0,3.3714675903320312
